,property_type,place_name,price_aprox_usd,rooms,contrafrente,cochera,amenities,esp_exterior,mas_1banio,estrenar,surface,price_m2
0,PH,Mataderos,62000.0,2.0,0,0,0,1,1,0,55.0,1127.2727272727273
1,apartment,Mataderos,72000.0,2.0,0,0,0,0,1,0,55.0,1309.090909090909
2,PH,Liniers,95000.0,3.0,0,0,0,1,0,0,57.5,1652.1739130434783
3,apartment,Belgrano,138000.0,1.0,0,0,1,0,1,1,45.0,3066.6666666666665
4,apartment,Belgrano,195000.0,2.0,0,0,1,0,1,1,65.0,3000.0
5,apartment,Palermo,111700.0,3.0,0,0,1,1,1,0,50.0,2234.0
6,apartment,Palermo,147900.0,1.0,0,0,1,1,0,0,42.0,3521.4285714285716
7,PH,Mataderos,239000.0,4.0,0,0,0,1,1,0,140.0,1707.142857142857
8,apartment,Palermo,350000.0,3.0,0,0,0,1,1,0,104.0,3365.3846153846152
9,apartment,Palermo,270500.0,4.0,0,0,0,1,0,0,118.0,2292.3728813559323
10,apartment,Flores,75000.0,2.0,0,0,0,1,1,0,43.0,1744.1860465116279
11,apartment,Boedo,145000.0,4.0,0,0,0,1,0,0,80.0,1812.5
12,apartment,Las Cañitas,480000.0,3.0,0,1,1,1,1,0,220.0,2181.818181818182
13,house,Puerto Madero,345000.0,5.0,0,0,1,0,0,0,80.0,4312.5
14,apartment,Balvanera,240000.0,5.0,0,1,0,1,1,0,141.0,1702.127659574468
15,house,Boedo,550000.0,6.0,0,1,1,1,1,0,504.0,1091.2698412698412
16,apartment,Caballito,110000.0,3.0,1,0,0,1,1,0,50.0,2200.0
17,apartment,Caballito,170500.0,2.0,0,0,0,0,0,0,100.0,1705.0
18,apartment,Caballito,220410.0,3.0,0,1,1,0,0,0,81.0,2721.1111111111113
19,apartment,Caballito,222780.0,3.0,0,1,1,0,0,0,81.0,2750.3703703703704
20,apartment,Caballito,108000.0,3.0,0,0,0,1,1,0,70.0,1542.857142857143
21,apartment,Nuñez,173000.0,2.0,1,1,1,1,0,0,50.0,3460.0
22,apartment,Boedo,72900.0,1.0,0,0,0,1,1,0,38.0,1918.421052631579
23,apartment,San Telmo,79851.93,2.0,1,1,1,0,0,0,34.0,2348.586176470588
24,apartment,Almagro,109900.0,2.0,1,1,1,1,0,1,50.0,2198.0
25,apartment,Belgrano,178000.0,3.0,0,1,1,1,0,0,51.5,3456.3106796116504
26,PH,Colegiales,249000.0,6.0,0,0,0,1,1,0,135.0,1844.4444444444443
28,apartment,Balvanera,129000.0,4.0,0,0,0,0,0,0,79.0,1632.9113924050632
29,apartment,Caballito,128000.0,2.0,0,1,1,1,1,0,54.0,2370.3703703703704
30,apartment,Balvanera,118000.0,3.0,0,0,0,0,1,0,53.0,2226.4150943396226
31,apartment,Barrio Norte,93000.0,1.0,1,0,0,0,1,0,37.0,2513.5135135135133
32,PH,Barracas,160000.0,5.0,0,0,0,1,1,0,156.0,1025.6410256410256
33,apartment,Recoleta,380000.0,7.0,0,0,0,0,1,0,196.0,1938.7755102040817
34,PH,Palermo,315000.0,4.0,0,1,0,1,1,0,240.0,1312.5
35,store,Congreso,295000.0,1.0,0,0,1,0,1,0,103.0,2864.0776699029125
36,apartment,Villa Crespo,73800.0,1.0,0,1,1,1,0,0,42.0,1757.142857142857
37,apartment,Villa Crespo,72000.0,1.0,0,1,1,1,0,0,44.0,1636.3636363636363
38,apartment,Las Cañitas,235000.0,2.0,0,0,1,0,0,1,68.0,3455.8823529411766
39,apartment,Belgrano,240000.0,2.0,1,1,1,1,1,0,57.0,4210.526315789473
40,apartment,Caballito,130500.0,2.0,0,0,1,1,0,0,49.0,2663.265306122449
41,store,Chacarita,175000.0,1.0,0,0,0,0,1,0,80.0,2187.5
42,apartment,Belgrano,550000.0,4.0,0,1,1,0,1,0,160.0,3437.5
43,apartment,Caballito,130500.0,2.0,0,0,1,1,0,0,49.0,2663.265306122449
44,apartment,Villa Crespo,62000.0,1.0,0,1,1,1,0,0,33.0,1878.7878787878788
45,apartment,Belgrano,1100000.0,5.0,0,1,1,1,1,0,310.0,3548.3870967741937
46,apartment,Belgrano,237895.0,1.0,1,1,1,1,1,0,69.0,3447.753623188406
47,apartment,Belgrano,237895.0,1.0,1,1,1,1,1,0,69.0,3447.753623188406
48,apartment,Flores,99000.0,3.0,0,0,1,0,1,0,65.0,1523.076923076923
49,apartment,Belgrano,1035000.0,5.0,0,0,1,1,1,0,270.0,3833.3333333333335
50,apartment,Nuñez,229000.0,1.0,0,1,1,1,0,0,66.0,3469.6969696969695
51,apartment,Nuñez,135000.0,1.0,0,1,1,1,0,0,45.0,3000.0
52,apartment,Recoleta,620000.0,5.0,0,1,1,1,1,0,191.0,3246.0732984293195
53,apartment,Belgrano,92600.0,1.0,0,1,1,0,0,0,33.0,2806.060606060606
54,apartment,Caballito,445000.0,5.0,0,1,1,1,1,0,158.0,2816.4556962025317
55,PH,Almagro,165000.0,4.0,0,0,0,0,0,0,85.0,1941.1764705882354
56,apartment,Palermo,147300.0,1.0,0,0,1,1,1,1,39.0,3776.923076923077
57,apartment,Puerto Madero,550000.0,4.0,0,1,1,1,1,0,109.0,5045.871559633028
58,apartment,Constitución,130000.0,3.0,0,0,0,1,1,0,90.0,1444.4444444444443
59,apartment,Puerto Madero,1195000.0,4.0,1,1,1,1,1,1,198.0,6035.353535353535
60,apartment,Belgrano,340000.0,4.0,0,1,0,1,1,0,128.0,2656.25
61,PH,Mataderos,53000.0,1.0,0,0,0,0,1,0,28.0,1892.857142857143
62,apartment,Recoleta,120000.0,1.0,0,1,1,0,0,1,33.0,3636.3636363636365
63,apartment,Palermo,440000.0,4.0,0,1,1,1,1,0,175.0,2514.285714285714
64,apartment,Colegiales,238000.0,4.0,0,1,0,1,1,0,126.0,1888.888888888889
65,apartment,Villa Urquiza,267500.0,4.0,0,1,0,1,1,0,127.0,2106.299212598425
66,apartment,Villa Crespo,305000.0,4.0,0,1,0,1,1,0,120.0,2541.6666666666665
67,apartment,Barrio Norte,98000.0,3.0,0,0,0,0,1,0,37.0,2648.6486486486488
68,apartment,Palermo,135000.0,2.0,0,0,0,1,0,0,47.0,2872.340425531915
69,apartment,Saavedra,95000.0,1.0,0,0,1,1,1,1,38.0,2500.0
70,apartment,Saavedra,181000.0,3.0,1,0,1,1,1,1,71.0,2549.2957746478874
71,store,Monserrat,470000.0,1.0,0,0,0,0,0,0,401.5,1170.610211706102
72,house,Pompeya,370000.0,7.0,0,1,0,1,0,0,270.0,1370.3703703703704
73,apartment,Parque Chas,105900.0,1.0,0,1,1,1,0,0,49.0,2161.2244897959185
